[2026-06-16 15:47:28] Starting subprocess-based zero-downtime proof simulator with client failover retry...
[2026-06-16 15:47:28] Detected max keys for reads: 1000
[2026-06-16 15:47:28] Entering main simulation loop. Press Ctrl+C to stop.
[2026-06-16 15:55:30] Progress: Ops=16000 | Reads=8000 (Fails=0) | Writes=8000 (Fails=0) | Success Rate=100.00% | Elapsed=482.2s
[2026-06-16 15:55:36] Progress: Ops=16200 | Reads=8100 (Fails=0) | Writes=8100 (Fails=0) | Success Rate=100.00% | Elapsed=488.1s
[2026-06-16 15:55:42] Progress: Ops=16400 | Reads=8200 (Fails=0) | Writes=8200 (Fails=0) | Success Rate=100.00% | Elapsed=494.4s
[2026-06-16 15:55:48] Progress: Ops=16600 | Reads=8300 (Fails=0) | Writes=8300 (Fails=0) | Success Rate=100.00% | Elapsed=500.2s
[2026-06-16 15:55:55] Progress: Ops=16800 | Reads=8400 (Fails=0) | Writes=8400 (Fails=0) | Success Rate=100.00% | Elapsed=507.3s
[2026-06-16 15:56:02] Progress: Ops=17000 | Reads=8500 (Fails=0) | Writes=8500 (Fails=0) | Success Rate=100.00% | Elapsed=513.9s
[2026-06-16 15:56:08] Progress: Ops=17200 | Reads=8600 (Fails=0) | Writes=8600 (Fails=0) | Success Rate=100.00% | Elapsed=520.1s
[2026-06-16 15:56:15] Progress: Ops=17400 | Reads=8700 (Fails=0) | Writes=8700 (Fails=0) | Success Rate=100.00% | Elapsed=526.9s
[2026-06-16 15:56:21] Progress: Ops=17600 | Reads=8800 (Fails=0) | Writes=8800 (Fails=0) | Success Rate=100.00% | Elapsed=533.1s
[2026-06-16 15:56:27] Progress: Ops=17800 | Reads=8900 (Fails=0) | Writes=8900 (Fails=0) | Success Rate=100.00% | Elapsed=539.7s
[2026-06-16 15:56:33] Progress: Ops=18000 | Reads=9000 (Fails=0) | Writes=9000 (Fails=0) | Success Rate=100.00% | Elapsed=545.7s
[2026-06-16 15:56:39] Progress: Ops=18200 | Reads=9100 (Fails=0) | Writes=9100 (Fails=0) | Success Rate=100.00% | Elapsed=551.8s
[2026-06-16 15:56:45] Progress: Ops=18400 | Reads=9200 (Fails=0) | Writes=9200 (Fails=0) | Success Rate=100.00% | Elapsed=557.8s
[2026-06-16 15:56:51] Progress: Ops=18600 | Reads=9300 (Fails=0) | Writes=9300 (Fails=0) | Success Rate=100.00% | Elapsed=563.7s
[2026-06-16 15:56:57] Progress: Ops=18800 | Reads=9400 (Fails=0) | Writes=9400 (Fails=0) | Success Rate=100.00% | Elapsed=569.6s
[2026-06-16 15:57:03] Progress: Ops=19000 | Reads=9500 (Fails=0) | Writes=9500 (Fails=0) | Success Rate=100.00% | Elapsed=575.5s
[2026-06-16 15:57:09] Progress: Ops=19200 | Reads=9600 (Fails=0) | Writes=9600 (Fails=0) | Success Rate=100.00% | Elapsed=581.5s
[2026-06-16 15:57:15] Progress: Ops=19400 | Reads=9700 (Fails=0) | Writes=9700 (Fails=0) | Success Rate=100.00% | Elapsed=587.4s
[2026-06-16 15:57:21] Progress: Ops=19600 | Reads=9800 (Fails=0) | Writes=9800 (Fails=0) | Success Rate=100.00% | Elapsed=593.3s
[2026-06-16 15:57:27] Progress: Ops=19800 | Reads=9900 (Fails=0) | Writes=9900 (Fails=0) | Success Rate=100.00% | Elapsed=599.3s
[2026-06-16 15:57:33] Progress: Ops=20000 | Reads=10000 (Fails=0) | Writes=10000 (Fails=0) | Success Rate=100.00% | Elapsed=605.2s
[2026-06-16 15:57:39] Progress: Ops=20200 | Reads=10100 (Fails=0) | Writes=10100 (Fails=0) | Success Rate=100.00% | Elapsed=611.2s
[2026-06-16 15:57:45] Progress: Ops=20400 | Reads=10200 (Fails=0) | Writes=10200 (Fails=0) | Success Rate=100.00% | Elapsed=617.2s
